7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1691012040, +3.49, +29.997,  +2.88672, -264.000, +764.000, +1248.000
1691012340, +3.49, +30.247,  +2.91982, -296.000, +792.000, +1201.000
1691012640, +3.49, +30.464,  +9.86218, -104.000, +803.000, +1143.000
1691012940, +3.49, +30.617, +10.68963, -128.000, +587.000, +1287.000
1691013240, +3.49, +30.737,  +1.22629, -184.000, +576.000, +1304.000
1691013540, +3.49, +30.841,  +3.87139, -308.000, +615.000, +1283.000
1691013840, +3.49, +30.929,  +1.11320, -200.000, +547.000, +1171.000
1691014140, +3.49, +30.945,  +3.97345, -32.000, +580.000, +1304.000
1691014440, +3.49, +30.921,  +2.99980, -160.000, +640.000, +1169.000
1691014740, +3.49, +30.921,  +0.58639, -288.000, +655.000, +1255.000
1691015040, +3.49, +30.881,  +2.64952, -272.000, +665.000, +1091.000
1691015340, +3.49, +30.841,  +2.23855, -60.000, +579.000, +1537.000
1691015640, +3.49, +30.777,  +1.21802, -256.000, +1287.000, +1619.000
1691015940, +3.49, +30.689,  +4.03688, -244.000, +783.000, +1305.000
1691016240, +3.49, +30.609,  +3.52662, -160.000, +719.000, +1164.000
1691016540, +3.49, +30.537,  +0.12577, -233.000, +711.000, +1209.000
1691016840, +3.49, +30.456,  +0.35746, -184.000, +615.000, +1315.000
1691017140, +3.49, +30.328,  +0.56433, -416.000, +463.000, +888.000
1691017440, +3.49, +30.151,  -0.00110, -157.000, +700.000, +1278.000
1691017740, +3.49, +29.908,  -0.05627, -136.000, +752.000, +1256.000
1691018040, +3.49, +29.609,  +0.03199, -125.000, +743.000, +1240.000
1691018340, +3.49, +29.317,  +0.04854, -136.000, +752.000, +1248.000
1691018640, +3.49, +28.999,  -0.02317, -157.000, +718.000, +1291.000
1691018940, +3.49, +28.689,  +0.04303, -128.000, +752.000, +1244.000
1691019240, +3.49, +27.680,  -0.02869, -180.000, +1452.000, +185.000
1691019540, +3.49, +26.698,  +0.12302, -189.000, +524.000, +1334.000
1691019840, +3.49, +25.927,  -0.00386, -200.000, +536.000, +1340.000
1691020140, +3.49, +25.296,  +0.00993, -218.000, +520.000, +1383.000
1691020440, +3.49, +24.771,  -0.08109, -224.000, +499.000, +1367.000
1691020740, +3.49, +24.330,  +0.06509, -216.000, +540.000, +1363.000
1691021040, +3.49, +23.938,  +0.02096, -192.000, +536.000, +1328.000
1691021340, +3.49, +23.579,  -0.02041, -221.000, +528.000, +1379.000
1691021640, +3.49, +23.286,  +0.08992, -204.000, +550.000, +1336.000
1691021940, +3.49, +23.027,  +0.01820, -189.000, +536.000, +1324.000
1691022240, +3.49, +22.810,  +0.10371, -224.000, +524.000, +1379.000
1691022540, +3.49, +22.634,  -0.03420, -216.000, +548.000, +1363.000
1691022840, +3.49, +22.484,  +0.14784, -200.000, +552.000, +1334.000
1691023140, +3.49, +22.375,  -0.01489, -192.000, +544.000, +1326.000
1691023440, +3.49, +22.266,  +0.13405, -192.000, +543.000, +1320.000
1691023740, +3.48, +22.174,  -0.04248, -184.000, +536.000, +1320.000
1691024040, +3.48, +22.107,  +0.06234, -224.000, +520.000, +1372.000
1691024340, +3.48, +22.049,  +0.06509, -224.000, +526.000, +1375.000
1691024640, +3.48, +21.982,  +0.09543, -218.000, +550.000, +1368.000
1691024940, +3.48, +21.915,  +0.02924, -221.000, +544.000, +1376.000
1691025240, +3.48, +21.864,  -0.00110, -212.000, +560.000, +1351.000
1691025540, +3.48, +21.797,  -0.12246, -216.000, +552.000, +1359.000
1691025840, +3.48, +21.764,  +0.00165, -221.000, +544.000, +1376.000
1691026140, +3.48, +21.722,  -0.11143, -204.000, +558.000, +1329.000
1691026440, +3.48, +21.705,  -0.05627, -207.000, +560.000, +1336.000
1691026740, +3.48, +21.655,  +0.10371, -192.000, +551.000, +1320.000
1691027040, +3.48, +21.638,  +0.05130, -192.000, +552.000, +1324.000
1691027340, +3.48, +21.605,  -0.05351, -192.000, +552.000, +1319.000
1691027640, +3.48, +21.579,  +0.06785, -192.000, +544.000, +1319.000
1691027940, +3.48, +21.588,  +0.04027, -184.000, +542.000, +1312.000
1691028240, +3.48, +21.571,  +0.00441, -192.000, +547.000, +1321.000
1691028540, +3.48, +21.546,  -0.08937, -192.000, +547.000, +1321.000
1691028840, +3.48, +21.546,  +0.11750, -186.000, +544.000, +1315.000
1691029140, +3.48, +21.521,  +0.01820, -192.000, +550.000, +1321.000
1691029440, +3.48, +21.521,  +0.11750, -192.000, +550.000, +1320.000
1691029740, +3.48, +21.512,  +0.05406, -192.000, +547.000, +1319.000
1691030040, +3.48, +21.479,  +0.12302, -192.000, +547.000, +1318.000
1691030340, +3.48, +21.454,  +0.04027, -184.000, +540.000, +1311.000
1691030640, +3.48, +21.437,  +0.16439, -192.000, +547.000, +1320.000
1691030940, +3.48, +21.403,  -0.00938, -224.000, +515.000, +1359.000
1691031240, +3.48, +21.395,  +0.03199, -186.000, +544.000, +1315.000
1691031540, +3.48, +21.362,  -0.13901, -184.000, +544.000, +1315.000
1691031840, +3.48, +21.345,  -0.05351, -224.000, +524.000, +1368.000
1691032140, +3.48, +21.303,  -0.08937, -224.000, +526.000, +1371.000
1691032440, +3.48, +21.286,  +0.01269, -224.000, +520.000, +1367.000
1691032740, +3.48, +21.286,  +0.05406, -221.000, +532.000, +1376.000
1691033040, +3.48, +21.269,  +0.00165, -223.000, +526.000, +1371.000
1691033340, +3.48, +21.278,  -0.02041, -224.000, +534.000, +1376.000
1691033640, +3.47, +21.269,  -0.04523, -224.000, +536.000, +1376.000
1691033940, +3.47, +21.278,  -0.06454, -224.000, +526.000, +1372.000
1691034240, +3.47, +21.278,  +0.03475, -224.000, +527.000, +1369.000
1691034540, +3.47, +21.278,  +0.07061, -176.000, +539.000, +1287.000
1691034840, +3.47, +21.286,  -0.02593, -224.000, +527.000, +1372.000
1691035140, +3.47, +21.261,  -0.03144, -224.000, +543.000, +1376.000
1691035440, +3.47, +21.269,  -0.07557, -224.000, +527.000, +1372.000
1691035740, +3.47, +21.261,  +0.07061, -221.000, +540.000, +1376.000
1691036040, +3.47, +21.278,  +0.09819, -221.000, +537.000, +1379.000
1691036340, +3.47, +21.286,  -0.07006, -221.000, +536.000, +1376.000
1691036640, +3.47, +21.294,  -0.06178, -223.000, +528.000, +1372.000
1691036940, +3.47, +21.294,  +0.07337, -224.000, +528.000, +1376.000
1691037240, +3.47, +21.303,  +0.02924, -221.000, +535.000, +1376.000
1691037540, +3.47, +21.328,  -0.07282, -224.000, +536.000, +1376.000
1691037840, +3.47, +21.311,  -0.16935, -224.000, +532.000, +1376.000
1691038140, +3.47, +21.336,  -0.01489, -223.000, +536.000, +1376.000
1691038440, +3.47, +21.353,  -0.03144, -224.000, +536.000, +1376.000
1691038740, +3.47, +21.362,  +0.07613, -221.000, +532.000, +1376.000
1691039040, +3.47, +21.362,  -0.06454, -184.000, +544.000, +1311.000
1691039340, +3.47, +21.370,  -0.10867, -224.000, +526.000, +1367.000
1691039640, +3.47, +21.378,  +0.05958, -224.000, +531.000, +1376.000
1691039940, +3.47, +21.353,  -0.03144, -223.000, +527.000, +1367.000
1691040240, +3.47, +21.345,  -0.01489, -224.000, +536.000, +1376.000
1691040540, +3.47, +21.345,  -0.05351, -221.000, +540.000, +1376.000
1691040840, +3.47, +21.353,  -0.04523, -224.000, +531.000, +1372.000
1691041140, +3.47, +21.353,  -0.05351, -223.000, +534.000, +1375.000
1691041440, +3.47, +21.353,  +0.03199, -223.000, +540.000, +1377.000
1691041740, +3.47, +21.353,  -0.13074, -176.000, +540.000, +1292.000
1691042040, +3.47, +21.370,  -0.07006, -224.000, +531.000, +1372.000
1691042340, +3.47, +21.345,  -0.08937, -224.000, +542.000, +1377.000
1691042640, +3.47, +21.370,  -0.03420, -224.000, +515.000, +1351.000
1691042940, +3.47, +21.378,  -0.05075, -224.000, +520.000, +1360.000
1691043240, +3.47, +21.378,  -0.11419, -223.000, +534.000, +1376.000
1691043540, +3.47, +21.378,  +0.04854, -224.000, +527.000, +1364.000
